"","Brum.HAP1.GTS","Brum.KBM7.GTS","Weis14.csa.avg","Sabb15.KBM7.cs","Sabb15.K562.cs","Sabb15.Jiyoye.cs","Sabb15.Raji.cs","Sabb17.EOL","Sabb17.HEL","Sabb17.MOLM13","Sabb17.MonoMac1","Sabb17.NB4.rep1","Sabb17.NB4.rep2","Sabb17.OCI.AML2","Sabb17.OCI.AML3","Sabb17.OCI.AML5","Sabb17.P31.FUJ","Sabb17.PL21","Sabb17.SKM1","Sabb17.TF1","Sabb17.THP1","CGC_Tier","TSgene","rank"
"2684",0.585858586,0.678571429,-0.0074223265,-0.012,-0.465,0.142,0.153,-0.101,0.054,0.039,-0.135,-0.099,0.28,-0.464,-0.045,-0.117,0.046,-0.563,-0.257,-0.315,0.047,0,0,16471
"2685",0.50390625,0.534722222,-0.0074223265,-0.07,-0.253,0.202,0.157,0.277,-2.316,-0.02,-0.012,0.049,0.097,0.013,-0.491,-0.234,-0.031,0.037,-0.031,-0.044,-0.042,0,0,15920
"2686",0.458563536,0.47826087,-0.0074223265,-0.487,-0.857,-0.056,-0.348,-0.878,-0.621,-0.816,-0.181,-0.575,-0.672,-0.688,-0.072,-1.33,-0.148,-0.496,-0.703,-0.563,-0.786,0,0,9024
"2687",0.507186858,0.550649351,-0.045249453,0.078,0.514,0.25,0.033,0.096,0.232,-0.307,0.016,-0.111,0.294,0.12,0.538,-0.002,-0.083,0.273,-0.113,-0.1,0.3,0,0,2597
"2688",0.333333333,0.496274218,0.012134248,-0.251,-0.382,0.165,-0.283,-0.207,0.075,-0.415,-0.423,-0.378,0.001,0.061,-0.126,-0.74,-0.397,-0.519,-0.198,-0.465,-0.376,0,0,6791
"2689",0.499607606,0.494325347,-0.0074223265,0.211,0.117,0.178,-0.169,-0.004,-0.034,0.031,-0.077,0.106,-0.078,-0.293,-0.091,0.038,-0.15,0.152,0.233,0.092,-0.068,0,0,2267
"2690",0.333333333,0.615384615,-0.000277295,-0.285,-0.559,-0.24,-0.054,-0.034,-0.286,-0.159,-0.142,0.295,0.122,-0.029,0.208,-0.186,0.101,-0.148,-0.243,-1.107,-0.787,0,0,12266
"2691",0.497942387,0.526315789,-0.0074223265,-0.328,-0.538,-0.182,-0.317,-0.081,-0.188,-0.458,0.144,-0.209,-0.436,-0.168,-0.197,-0.331,-0.212,-0.356,-0.322,-0.39,-0.501,0,0,18512
"2692",0.507760532,0.214285714,-0.0074223265,0.244,0.221,0.186,0.162,0.276,0.118,0.333,0.13,0.383,0.315,0.487,0.069,0.579,0.227,0.173,0.318,0.342,0.158,0,0,10841
"2693",0.523809524,0.507692308,-0.0074223265,-0.035,-0.582,-0.039,-0.214,0.259,-0.19,-0.136,0.013,-0.196,-0.215,0.144,-0.356,0.06,-0.034,-0.18,-0.187,-0.598,0.013,0,0,13376
"2694",0.507604563,0.4375,-0.0074223265,-0.162,-0.478,0.237,0.124,-0.224,-0.036,-0.561,-0.24,0.154,-0.257,-0.18,-0.397,-0.51,0.096,-0.44,-0.127,-0.108,-0.437,0,1,3781
"2695",0.526315789,0.600760456,-0.031204701,0.201,0.111,0.066,0.281,0.246,0.134,0.251,0.225,0.272,0.23,0.001,0.061,-0.15,0.332,0.106,0.548,-0.089,0.063,0,0,14271
"2696",0.498880681,0.631578947,-0.0074223265,-0.381,-0.927,0.04,-0.358,-0.047,-0.137,-0.476,-0.307,0.005,-0.629,-0.233,0.176,-0.28,-0.038,-0.398,0.11,-0.414,-0.412,0,0,7771
"2697",0.469168901,0.456081081,-0.051976177,-0.393,-0.818,0.075,-0.065,-0.504,-0.208,-0.575,-0.134,-0.517,-0.461,-0.828,-0.181,-1.059,-0.367,-0.429,0.001,0.162,-0.258,0,0,17844
"2698",0.65,0.777777778,-0.020058993,-0.051,0.006,-0.065,-0.004,0.036,0.374,-0.131,0.134,-0.171,-0.081,0.104,-0.004,-0.127,-0.078,0.027,-0.243,0.067,-0.221,0,0,2177
"2699",0.523972603,0.531428571,-0.0074223265,-0.483,-0.05,0.039,0.203,-0.528,-0.3,-0.734,-0.213,-0.226,-0.61,-0.641,-0.105,-0.074,-0.653,-0.167,-1.923,0.238,-0.55,0,0,8782
"2700",0.454816286,0.477218225,-0.024635156,-0.265,-0.152,0.013,-0.499,-0.385,0.008,-0.556,-0.345,-0.165,-0.165,-0.414,0.337,-0.562,-0.347,-0.823,-0.029,-0.531,-0.234,0,0,8114
"2701",0.549295775,0.5,-0.007419449,0.033,0.454,0.064,0.288,0,0.096,-0.155,0.103,0.046,0.135,-0.113,-0.125,-0.121,0.092,0.011,-0.027,-0.047,0.075,0,0,3282
"2702",0.506243386,0.571428571,0.010783625,-0.837,-1.143,-0.086,-0.575,-0.787,-0.481,-1.256,-0.008,-0.331,-0.565,-1.289,-0.141,-1.06,-0.257,-1.313,-0.436,-0.87,-0.829,0,0,13151
"2703",0.547945205,0,-0.050548778,-0.535,-0.242,-0.105,-0.69,-0.685,-0.514,-0.708,-0.857,-1.074,-0.791,-1.143,-0.47,-1.157,-0.712,-1.179,-0.711,-0.319,-0.313,0,0,14944
